food_id,name,kcal,protein,carb,fat,fiber
TACO001,"Arroz, integral, cozido",124,2.6,25.8,1.0,2.7
TACO002,"Arroz, integral, cru",360,7.3,77.5,1.9,4.8
TACO003,"Arroz, tipo 1, cozido",128,2.5,28.1,0.2,1.6
TACO004,"Arroz, tipo 1, cru",358,7.2,78.8,0.3,1.6
TACO005,"Arroz, tipo 2, cozido",130,2.6,28.2,0.4,1.1
TACO006,"Arroz, tipo 2, cru",358,7.2,78.9,0.3,1.7
TACO007,"Aveia, flocos, crua",394,13.9,66.6,8.5,9.1
TACO008,"Biscoito, doce, maisena",443,8.1,75.2,12.0,2.1
TACO009,"Biscoito, doce, recheado com chocolate",472,6.4,70.5,19.6,3.0
TACO010,"Biscoito, doce, recheado com morango",471,5.7,71.0,19.6,1.5
TACO011,"Biscoito, doce, wafer, recheado de chocolate",502,5.6,67.5,24.7,1.8
TACO012,"Biscoito, doce, wafer, recheado de morango",513,4.5,67.4,26.4,0.8
TACO013,"Biscoito, salgado, cream cracker",432,10.1,68.7,14.4,2.5
TACO014,"Bolo, mistura para",419,6.2,84.7,6.1,1.7
TACO015,"Bolo, pronto, aipim",324,4.4,47.9,12.7,0.7
TACO016,"Bolo, pronto, chocolate",410,6.2,54.7,18.5,1.4
TACO017,"Bolo, pronto, coco",333,5.7,52.3,11.3,1.1
TACO018,"Bolo, pronto, milho",311,4.8,45.1,12.4,0.7
TACO019,"Canjica, branca, crua",358,7.2,78.1,1.0,5.5
TACO020,"Canjica, com leite integral",112,2.4,23.6,1.2,1.2
TACO021,"Cereais, milho, flocos, com sal",370,7.3,80.8,1.6,5.3
TACO022,"Cereais, milho, flocos, sem sal",363,6.9,80.4,1.2,1.8
TACO023,"Cereais, mingau, milho, infantil",394,6.4,87.3,1.1,3.2
TACO024,"Cereais, mistura para vitamina, trigo, cevada e aveia",381,8.9,81.6,2.1,5.0
TACO025,"Cereal matinal, milho",365,7.2,83.8,1.0,4.1
TACO026,"Cereal matinal, milho, açúcar",377,4.7,88.8,0.7,2.1
TACO027,"Creme de arroz, pó",386,7.0,83.9,1.2,1.1
TACO028,"Creme de milho, pó",333,4.8,86.1,1.6,3.7
TACO029,"Curau, milho verde",78,2.4,13.9,1.6,0.5
TACO030,"Curau, milho verde, mistura para",402,2.2,79.8,13.4,2.5
TACO031,"Farinha, de arroz, enriquecida",363,1.3,85.5,0.3,0.6
TACO032,"Farinha, de centeio, integral",336,12.5,73.3,1.8,15.5
TACO033,"Farinha, de milho, amarela",351,7.2,79.1,1.5,5.5
TACO034,"Farinha, de rosca",371,11.4,75.8,1.5,4.8
TACO035,"Farinha, de trigo",360,9.8,75.1,1.4,2.3
TACO036,"Farinha, láctea, de cereais",415,11.9,77.8,5.8,1.9
TACO037,"Lasanha, massa fresca, cozida",164,5.8,32.5,1.2,1.6
TACO038,"Lasanha, massa fresca, crua",220,7.0,45.1,1.3,1.6
TACO039,"Macarrão, instantâneo",436,8.8,62.4,17.2,5.6
TACO040,"Macarrão, trigo, cru",371,10.0,77.9,1.3,2.9
TACO041,"Macarrão, trigo, cru, com ovos",371,10.3,76.6,2.0,2.3
TACO042,"Milho, amido, cru",361,0.6,87.1,0.0,0.7
TACO043,"Milho, fubá, cru",353,7.2,78.9,1.9,4.7
TACO044,"Milho, verde, cru",138,6.6,28.6,0.6,3.9
TACO045,"Milho, verde, enlatado, drenado",98,3.2,17.1,2.4,4.6
TACO046,"Mingau tradicional, pó",373,0.6,89.3,0.4,0.9
TACO047,"Pamonha, barra para cozimento, pré-cozida",171,2.6,30.7,4.8,2.4
